NAME,Total Population,Median HHI,Median HHI White,Median HHI Black,Less than High School,High School,Associate's Degree,Bachelor's Degree,Master's Degree or Higher,Proportion White,Proportion Black,Proportion All Other Races,Home Ownership Rate
2108.03,3940.0,76458.0,51925.0,77961.0,0.0595959595959596,0.15622895622895622,0.08215488215488216,0.09494949494949495,0.3053872053872054,0.19593908629441625,0.7774111675126903,0.0266497461928934,0.7998829724985371
2108.05,6740.0,77811.0,45754.0,79157.0,0.059074573225516624,0.2803234501347709,0.14690026954177898,0.1105121293800539,0.10983827493261455,0.11186943620178041,0.8626112759643917,0.025519287833827894,0.5814977973568282
2108.06,4936.0,68750.0,86033.0,66946.0,0.09480812641083522,0.17663656884875847,0.09001128668171557,0.18227990970654628,0.1396726862302483,0.11527552674230146,0.8666936790923825,0.018030794165316045,0.7950561797752809
2108.07,5165.0,76746.0,58670.0,78603.0,0.0881475454298888,0.26878220775698397,0.09981014374830485,0.17385408190941146,0.16327637645782478,0.12971926427879962,0.8470474346563408,0.023233301064859633,0.7142857142857143
2108.08,3549.0,94107.0,62206.0,91940.0,0.16532258064516128,0.13172043010752688,0.07078853046594982,0.20340501792114696,0.2056451612903226,0.10989010989010989,0.7774020850943928,0.11270780501549732,1.0
2109.12,7477.0,93686.0,115179.0,90673.0,0.05848817567567568,0.17757601351351351,0.12035472972972973,0.19383445945945946,0.13956925675675674,0.25157148589006284,0.6450448040658018,0.10338371004413535,0.8637077769049489
2109.21,4566.0,83056.0,94904.0,72478.0,0.1383581033262562,0.16454352441613587,0.16171266808209483,0.20276008492569003,0.06440198159943383,0.39947437582128775,0.5162067455102934,0.08431887866841875,0.7854251012145749
2109.23,5340.0,65031.0,65500.0,65000.0,0.0789186237028946,0.2984707809939924,0.0977607864554888,0.17777170944838885,0.060076460950300385,0.39250936329588015,0.5606741573033708,0.04681647940074907,0.7343039126478617
2109.24,4687.0,76169.0,74875.0,69271.0,0.08344504021447721,0.15985254691689008,0.10221179624664879,0.2272117962466488,0.11394101876675604,0.22871772989118838,0.6782590142948581,0.09302325581395349,0.6411865373645179
2109.25,5001.0,62936.0,82993.0,60061.0,0.03625081645983018,0.2952318745917701,0.1410842586544742,0.22599608099281515,0.06662312214239059,0.3715256948610278,0.5282943411317736,0.10017996400719856,0.595296423321901
